Qty,Value,Device,Package,Parts,PURCHASE-URL,DATASHEET-URL,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,SNAPEDA_LINK,SPICEPREFIX,VALUE
1,,ADAFRUIT_LEDCHIP-LED0603,ADAFRUIT_CHIP-LED0603,CHG_LED,https://www.tme.eu/en/details/kp-1608surck/smd-colour-leds/kingbright-electronic/,https://www.alldatasheet.com/datasheet-pdf/pdf/1153370/TO-GRACE/KP-1608SURCK.html,LED,,,,,,,,,,,,,,,,,,,,,,,
1,,SJ,SJ,SJ1,,,SMD solder JUMPER,,,,,,,,,,,,,,,,,,3,,,,,
1,0.1uF/50V,EAGLE-LTSPICE_C,EAGLE-LTSPICE_C0402,EPD_C5,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KB5NNNC/11696318,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KB5NNNC/11696318,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,
1,0.47,ESP32_WROVER_EAGLE-LTSPICE_R,ESP32_WROVER_EAGLE-LTSPICE_R0402,R3,https://www.digikey.com/en/products/detail/cts-resistor-products/73L1R47J/1543472,https://www.digikey.com/en/products/detail/cts-resistor-products/73L1R47J/1543472,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,
1,100K,ESP32_WROVER_EAGLE-LTSPICE_R,ESP32_WROVER_EAGLE-LTSPICE_R0402,R1_PWRUSB,https://www.digikey.com/en/products/detail/yageo/RC0402JR-07100KL/726416,https://www.digikey.com/en/products/detail/yageo/RC0402JR-07100KL/726416,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,
8,100nF,EAGLE-LTSPICE_C,EAGLE-LTSPICE_C0402,"C1, C2, C4_USB, C6, C8, C9, C10, C_DELAY",https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KP5NNNC/3886660,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KP5NNNC/3886660,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,
1,100uF TANT,RCL_CPOL-EUCT3528,RCL_CT3528,C3,https://ro.mouser.com/ProductDetail/KEMET/T491B107K006AT?qs=0CYHZL%252BGkuR7Fv7IsnkA2g%3D%3D,https://ro.mouser.com/ProductDetail/KEMET/T491B107K006AT?qs=0CYHZL%252BGkuR7Fv7IsnkA2g%3D%3D,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,0,,,,C,
16,10K,ESP32_WROVER_EAGLE-LTSPICE_R,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R1, R1_PINH, R1_PINH1, R2_PINH, R2_PINH1, R4, R5, R6, R7, R8, R9, R10, R_BOOT, R_CHANGE, R_CL1, R_RESET",https://www.digikey.com/en/products/detail/yageo/RC0402JR-0710KL/726418,https://www.digikey.com/en/products/detail/yageo/RC0402JR-0710KL/726418,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,
1,10uF,EAGLE-LTSPICE_C,EAGLE-LTSPICE_C0402,C7,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A106MP5NUNC/3887108,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A106MP5NUNC/3887108,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,
1,112A-TAAR-R03_ATTEND,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,J4,https://www.digikey.com/en/products/detail/attend-technology/112A-TAAR-R03/17633923?s=N4IgTCBcDaIIxzAQQLQBUlIEoqwBgGYQBdAXyA,https://www.digikey.com/en/products/detail/attend-technology/112A-TAAR-R03/17633923?s=N4IgTCBcDaIIxzAQQLQBUlIEoqwBgGYQBdAXyA,"Micro SD Card Socket, Push-Push Type, Top Mount, SMT, H=1.83mm, 10u",,,,,,Micro SD Card Socket, Push-Push Type, Top Mount, SMT, H=1.83mm, 10u,1.9mm,ATTEND,112A-TAAR-R03 ATTEND,,,,,,,,,
